id,nombre,precio,activo
70,OFERTA HFC PURO,44.00,true
32,1 PLAY INTERNET,69.00,true
39,2 PLAY INTER + TLF,74.00,true
35,1 PLAY INTERNET,79.00,true
74,2 PLAY INTER + TLF,84.00,true
72,1 PLAY INTERNET,89.00,true
82,PROMO 1 SOL,89.00,true
75,2 PLAY INTER + TLF,94.00,true
71,OFERTA HFC PURO,99.00,true
73,1 PLAY INTERNET,100.00,true
42,2 PLAY INTER + TLF,105.00,true
34,1 PLAY INTERNET,110.00,true
76,2 PLAY INTER + TLF,115.00,true
36,1 PLAY INTERNET,125.00,true
43,2 PLAY INTER + TLF,130.00,true
37,1 PLAY INTERNET,145.00,true
44,2 PLAY INTER + TLF,150.00,true
46,2 PLAY INTERNET + TV,150.00,true
56,3 PLAY INTER + TLF + TV,155.00,true
47,2 PLAY INTERNET + TV,160.00,true
80,3 PLAY INTER + TLF + TV,165.00,true
78,2 PLAY INTERNET + TV,170.00,true
57,3 PLAY INTER + TLF + TV,175.00,true
48,2 PLAY INTERNET + TV ,185.00,true
58,3 PLAY INTER + TLF + TV,190.00,true
61,3 PLAY INTER + TLF + TV,195.00,true
38,1 PLAY INTERNET,200.00,true
45,2 PLAY INTER + TLF,205.00,true
81,3 PLAY INTER + TLF + TV,205.00,true
62,3 PLAY INTER + TLF + TV,215.00,true
53,2 PLAY INTERNET + TV,225.00,true
49,2 PLAY INTERNET + TV,230.00,true
63,3 PLAY INTER + TLF + TV,230.00,true
59,3 PLAY INTER+ TLF + TV,235.00,true
54,2 PLAY INTERNET + TV,270.00,true
64,3 PLAY INTER + TLF + TV,275.00,true
50,2 PLAY INTERNET + TV,285.00,true
60,3 PLAY INTER + TLF + TV,290.00,true
55,2 PLAY INTERNET + TV,325.00,true
65,3 PLAY INTER + TLF + TV,330.00,true
66,PROMO BÁSICO,69.00,false
33,1 PLAY INTERNET,89.00,false
67,PROMO MEDIO,89.00,false
40,2 PLAY INTER + TLF,94.00,false
115,OFERTA ATAQUE,110.00,false
41,2 PLAY INTER + TLF,115.00,false
68,PROMO GRANDE,125.00,false
77,2 PLAY INTER + TLF,130.00,false
69,PROMO GRANDE,145.00,false
51,2 PLAY INTERNET + TV,185.00,false
52,2 PLAY INTERNET + TV,210.00,false
79,2 PLAY INTERNET + TV,230.00,false
