"Line"
"src/App.tsx(6,10): error TS2305: Module '""@compartido/ui/atomos""' has no exported member 'DarkModeToggle'."
"src/caracteristicas/admin/ui/AdicionalesSection.tsx(3,10): error TS2305: Module '""@compartido/ui/moleculas""' has no exported member 'Modal'."
"src/caracteristicas/admin/ui/PlansSection.tsx(3,10): error TS2305: Module '""@compartido/ui/moleculas""' has no exported member 'Modal'."
"src/caracteristicas/admin/ui/PromotionsSection.tsx(3,10): error TS2305: Module '""@compartido/ui/moleculas""' has no exported member 'Modal'."
"src/caracteristicas/community/ui/MetricsSection.tsx(2,10): error TS2305: Module '""@molecules/index""' has no exported member 'MetricsPanel'."
"src/caracteristicas/community/ui/ModalsSection.tsx(2,10): error TS2305: Module '""@molecules/index""' has no exported member 'Modal'."
"src/caracteristicas/editar-postulante/ui/EditApplicantForm.tsx(2,10): error TS2305: Module '""@compartido/ui/moleculas""' has no exported member 'ApplicantForm'."
"src/caracteristicas/gestion-leads/ui/NewLeadModal.tsx(3,10): error TS2305: Module '""@compartido/ui/moleculas""' has no exported member 'Modal'."
"src/caracteristicas/gestion-leads/ui/NewLeadModal.tsx(4,10): error TS2305: Module '""@compartido/ui/atomos""' has no exported member 'Button'."
"src/caracteristicas/registrar-empleado/ui/ActivateEmployeeModal.tsx(6,10): error TS2305: Module '""@compartido/ui/moleculas""' has no exported member 'Modal'."
"src/caracteristicas/registrar-postulante/ui/NewApplicantForm.tsx(2,10): error TS2305: Module '""@compartido/ui/moleculas""' has no exported member 'ApplicantForm'."
"src/entidades/tipificacion/ui/moleculas/TipificationBlockPanel/TipificationBlockPanel.tsx(11,10): error TS2305: Module '""@compartido/ui/atomos""' has no exported member 'TipificationOption'."
"src/widgets/community/ui/CampaignsKanban.tsx(3,10): error TS2305: Module '""@compartido/ui/moleculas""' has no exported member 'Modal'."
"src/widgets/panel-leads/ui/LeadsListPanel.tsx(12,10): error TS2305: Module '""@compartido/ui/atomos/campos""' has no exported member 'Entrada'."
"src/widgets/panel-leads/ui/LeadsListPanel.tsx(13,10): error TS2305: Module '""@entidades/lead/ui""' has no exported member 'LeadListItem'."
"src/widgets/panel-tipificacion/ui/TipificationPanel.tsx(16,10): error TS2305: Module '""@entidades/lead/ui""' has no exported member 'LeadDetailCard'."
"src/widgets/panel-tipificacion/ui/TipificationPanel.tsx(17,10): error TS2305: Module '""@entidades/tipificacion/ui""' has no exported member 'TipificationBlockPanel'."
"src/widgets/panel-tipificacion/ui/TipificationPanel.tsx(18,10): error TS2305: Module '""@compartido/ui/atomos/botones""' has no exported member 'Boton'."
"src/widgets/panel-tipificacion/ui/TipificationPanel.tsx(19,10): error TS2305: Module '""@compartido/ui/atomos/indicadores""' has no exported member 'Girador'."
"src/widgets/supervisor-gtr/ui/AdvisorsSection.tsx(7,10): error TS2305: Module '""@compartido/ui/atomos/indicadores""' has no exported member 'Girador'."
"src/widgets/supervisor-gtr/ui/LeadsSection.tsx(8,10): error TS2305: Module '""@compartido/ui/atomos/botones""' has no exported member 'Boton'."
"src/widgets/supervisor-gtr/ui/LeadsSection.tsx(9,10): error TS2305: Module '""@compartido/ui/atomos/indicadores""' has no exported member 'Girador'."
"src/widgets/supervisor-gtr/ui/LeadsSection.tsx(10,10): error TS2305: Module '""@compartido/ui/moleculas/tablas""' has no exported member 'TablaGtr'."
"src/widgets/supervisor-gtr/ui/LeadsSection.tsx(11,15): error TS2305: Module '""@compartido/ui/moleculas/tablas""' has no exported member 'TablaGtrColumn'."
"src/widgets/tabla-empleados/ui/EmployeeTable.tsx(8,10): error TS2305: Module '""@compartido/ui/atomos/etiquetas""' has no exported member 'StatusBadge'."
